2026-05-10 18:22:08,890 | WARNING | requests_spider_concurrent | status=403, retry=1, url=https://movie.douban.com/top250?start=0&filter=
2026-05-10 18:22:21,931 | WARNING | requests_spider_concurrent | status=403, retry=3, url=https://movie.douban.com/top250?start=125&filter=
2026-05-10 18:22:22,553 | WARNING | requests_spider_concurrent | status=403, retry=1, url=https://movie.douban.com/top250?start=150&filter=
2026-05-10 18:22:23,773 | WARNING | requests_spider_concurrent | status=403, retry=1, url=https://movie.douban.com/top250?start=175&filter=
2026-05-10 18:22:24,116 | WARNING | requests_spider_concurrent | status=403, retry=1, url=https://movie.douban.com/top250?start=200&filter=
2026-05-10 18:22:24,798 | WARNING | requests_spider_concurrent | status=403, retry=2, url=https://movie.douban.com/top250?start=150&filter=
2026-05-10 18:22:26,493 | WARNING | requests_spider_concurrent | status=403, retry=2, url=https://movie.douban.com/top250?start=175&filter=
2026-05-10 18:22:26,686 | WARNING | requests_spider_concurrent | status=403, retry=2, url=https://movie.douban.com/top250?start=200&filter=
2026-05-10 18:22:26,985 | WARNING | requests_spider_concurrent | status=403, retry=3, url=https://movie.douban.com/top250?start=150&filter=
2026-05-10 18:22:29,192 | WARNING | requests_spider_concurrent | status=403, retry=3, url=https://movie.douban.com/top250?start=175&filter=
2026-05-10 18:22:29,505 | WARNING | requests_spider_concurrent | status=403, retry=1, url=https://movie.douban.com/top250?start=225&filter=
2026-05-10 18:22:29,702 | WARNING | requests_spider_concurrent | status=403, retry=3, url=https://movie.douban.com/top250?start=200&filter=
2026-05-10 18:22:31,629 | WARNING | requests_spider_concurrent | status=403, retry=2, url=https://movie.douban.com/top250?start=225&filter=
2026-05-10 18:22:34,218 | WARNING | requests_spider_concurrent | status=403, retry=3, url=https://movie.douban.com/top250?start=225&filter=
2026-05-10 18:22:34,219 | INFO | requests_spider_concurrent | 共获取 0 部电影的基本信息
2026-05-10 18:22:34,230 | INFO | requests_spider_concurrent | 数据已排序导出至 data/movies.csv 和 data/movies.json
2026-05-10 18:44:56,020 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=0&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=0&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:44:56,023 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=50&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=50&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:44:56,034 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=25&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=25&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:45:07,382 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=0&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=0&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:45:07,695 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=50&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=50&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:45:08,482 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=25&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=25&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:45:19,176 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=50&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=50&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:45:19,291 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=0&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=0&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:45:20,382 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=25&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=25&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:45:30,692 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=100&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=100&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:45:31,162 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=75&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=75&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:45:32,088 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=125&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=125&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:45:41,138 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=100&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=100&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:45:44,167 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=75&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=75&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:45:45,061 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=125&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=125&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:45:52,281 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=100&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=100&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:45:54,772 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=75&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=75&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:45:56,697 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=125&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=125&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:46:04,927 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=150&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=150&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:46:06,974 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=175&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=175&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:46:07,886 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=200&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=200&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:46:16,412 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=150&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=150&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:46:18,144 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=175&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=175&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:46:19,812 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=200&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=200&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:46:27,522 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=150&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=150&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:46:28,813 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=175&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=175&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:46:30,488 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=200&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=200&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:46:38,999 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=225&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=225&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:46:50,852 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=225&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=225&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:47:03,805 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=225&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=225&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:47:05,806 | INFO | requests_spider_concurrent | 共获取 0 部电影的基本信息
2026-05-10 18:47:05,812 | INFO | requests_spider_concurrent | 数据已排序导出至 data/movies.csv 和 data/movies.json
2026-05-10 18:47:41,472 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=50&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=50&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:47:41,633 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=0&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=0&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:47:42,665 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=25&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=25&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:47:52,739 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=0&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=0&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:47:53,997 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=50&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=50&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:47:55,681 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=25&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=25&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:48:03,529 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=0&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=0&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:48:05,104 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=50&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=50&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:48:05,956 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=25&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=25&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:48:15,163 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=75&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=75&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:48:17,438 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=125&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=125&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:48:17,564 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=100&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=100&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:48:26,052 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=75&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=75&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:48:29,539 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=125&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=125&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:48:30,464 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=100&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=100&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:48:37,294 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=75&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=75&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:48:40,455 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=125&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=125&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:48:41,984 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=100&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=100&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:48:49,880 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=150&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=150&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:48:52,718 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=175&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=175&filter= (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPSConnection(host='127.0.0.1', port=9674): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
2026-05-10 18:48:54,157 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=200&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=200&filter= (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPSConnection(host='127.0.0.1', port=9674): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
2026-05-10 18:49:02,324 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=150&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=150&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:49:05,720 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=175&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=175&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:49:06,238 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=200&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=200&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:49:15,160 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=150&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=150&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:49:16,738 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=175&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=175&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:49:17,680 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=200&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=200&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:49:25,807 | WARNING | requests_spider_concurrent | fetch error retry=1, url=https://movie.douban.com/top250?start=225&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=225&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:49:38,007 | WARNING | requests_spider_concurrent | fetch error retry=2, url=https://movie.douban.com/top250?start=225&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=225&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:49:48,727 | WARNING | requests_spider_concurrent | fetch error retry=3, url=https://movie.douban.com/top250?start=225&filter=, err=HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=225&filter= (Caused by ResponseError('too many 403 error responses'))
2026-05-10 18:49:50,729 | INFO | requests_spider_concurrent | 共获取 0 部电影的基本信息
2026-05-10 18:49:50,743 | INFO | requests_spider_concurrent | 数据已排序导出至 data/movies.csv 和 data/movies.json
2026-05-10 19:00:52,660 | WARNING | requests_spider_concurrent | 403 Forbidden, sleeping 8s... url=https://movie.douban.com/top250?start=0&filter=
2026-05-10 19:01:05,039 | WARNING | requests_spider_concurrent | 403 Forbidden, sleeping 15s... url=https://movie.douban.com/top250?start=0&filter=
2026-05-10 19:01:22,375 | WARNING | requests_spider_concurrent | 403 Forbidden, sleeping 30s... url=https://movie.douban.com/top250?start=0&filter=
